hour,mean_buy_price,mean_sell_price,currency
0,1524.9192631578946,1518.2269618169848,ARS
1,1525.2939539473684,1518.3677188940092,ARS
2,1525.7201973684212,1518.3979111842107,ARS
3,1526.6700493421054,1518.295625,ARS
4,1527.7395855263158,1517.5372763157895,ARS
5,1529.4498848684211,1516.3221842105265,ARS
6,1530.9956973684211,1514.8110361842105,ARS
7,1532.474851973684,1513.0046249999998,ARS
8,1533.3105900000003,1511.9008233333332,ARS
9,1530.3615729166668,1512.1091145833334,ARS
10,1527.6539256756757,1512.6266452702703,ARS
11,1525.2266622778143,1513.4586381578947,ARS
12,1523.8572613561555,1514.9245903257652,ARS
13,1522.3624049366244,1514.8588529509836,ARS
14,1521.8603205342238,1515.1303202134757,ARS
15,1522.4812220026351,1516.0749457058241,ARS
16,1522.9423287220027,1516.4921125370188,ARS
17,1523.5907411067194,1517.34232718894,ARS
18,1524.4386468200269,1518.1558417849897,ARS
19,1524.0864264560712,1517.570404871626,ARS
20,1523.8100300100034,1517.2677325775257,ARS
21,1525.265255224392,1518.6314212328766,ARS
22,1524.4996492367652,1518.0069025974026,ARS
23,1524.4815827574862,1517.8076933201712,ARS
