hour,mean_buy_price,mean_sell_price,currency
0,172.44251908396944,148.79484848484847,JPY
1,172.09355338691162,150.5901142857143,JPY
2,172.16408371040723,151.35344368340944,JPY
3,172.0996345338983,151.9122305953278,JPY
4,172.09674270557028,151.5899887724551,JPY
5,171.81269470404985,151.38992907801418,JPY
6,171.80222751322754,151.29793864571644,JPY
7,171.59562434963578,151.23777942814706,JPY
8,171.53293674698796,151.50751757306696,JPY
9,171.51433925997117,151.80686166298747,JPY
10,171.5300503893724,151.93737693136902,JPY
11,171.55682905225865,151.86244194229417,JPY
12,171.6382989010989,152.37426345609066,JPY
13,171.51051755175519,151.86705966930265,JPY
14,171.82364536899456,150.1637100290698,JPY
15,172.7140930232558,147.99627863312054,JPY
16,173.38797288135595,146.57753131313132,JPY
17,173.58552650689904,146.38906474820143,JPY
18,173.95459481361425,146.2230703336339,JPY
19,174.1828407224959,146.0667039355993,JPY
20,174.13902789518175,146.26125058329444,JPY
21,173.7586170212766,146.7642823639775,JPY
22,173.36375,147.4108878699458,JPY
23,172.9992264851485,147.85610231425093,JPY
