date,currency,p2p_avg_price,official_exchange_rate,premium_abs,premium_pct
2025-12-08,ARS,1498.9602678046044,1433.85,65.11026780460452,4.540939973121638
2025-12-09,ARS,1493.5119055653054,1433.85,59.66190556530546,4.160958647369362
2025-12-10,ARS,1489.69935946032,1438.19,51.509359460319956,3.5815406490324664
2025-12-11,ARS,1491.8574270833333,1437.73,54.12742708333326,3.7647838664654154
2025-12-12,ARS,1498.454837154768,1437.04,61.414837154768065,4.273704083029561
2025-12-15,ARS,1507.8359260224015,1440.69,67.14592602240145,4.66067828765393
2025-12-16,ARS,1528.2444435986613,1438.29,89.95444359866133,6.2542632986853475
2025-12-17,ARS,1536.267468375805,1450.31,85.95746837580509,5.926834151030125
2025-12-18,ARS,1540.1456695602706,1450.21,89.93566956027053,6.201561812445822
2025-12-19,ARS,1536.9496322475056,1450.77,86.17963224750565,5.940268426249906
2025-12-22,ARS,1541.8952264150944,1449.44,92.45522641509433,6.378686003911471
