date,currency,p2p_avg_price,official_exchange_rate,premium_abs,premium_pct
2025-12-08,JPY,158.15182230124077,155.27,2.88182230124076,1.856007149636607
2025-12-09,JPY,157.99548757495492,155.76,2.235487574954931,1.4352128755488858
2025-12-10,JPY,160.4704567641851,156.83,3.6404567641850747,2.321275753481533
2025-12-11,JPY,160.0475790717049,156.29,3.757579071704896,2.4042351216999824
2025-12-12,JPY,160.371433008598,155.52,4.851433008597979,3.1194913892733878
2025-12-15,JPY,162.43222643998877,155.82,6.612226439988774,4.243503041964303
2025-12-16,JPY,162.61923575801092,155.29,7.329235758010924,4.719708775845799
2025-12-17,JPY,161.3359738188669,154.69,6.645973818866906,4.296317679789841
2025-12-18,JPY,160.37680704870698,155.62,4.756807048706975,3.0566810491626795
2025-12-19,JPY,159.70195267104032,155.62,4.0819526710403125,2.6230257492869224
