merchant_name,ads_count,total_volume,avg_finish_rate,avg_positive_rate,currency
Jesusfreitesm,1155,22532400000,0.9943575757575757,0.9989157512380953,ARS
EJLcryptos,984,18674154574,1.0,1.0,ARS
Marycrivero,931,17885800000,0.9912341568206229,0.9973584218045113,ARS
UnmoralCrypto,750,14700000000,0.9819346666666667,0.9982355730933333,ARS
ZALA96,636,12364291000,0.9863459119496856,0.9976497715408805,ARS
mdcoria,630,12348000000,0.9960222222222223,0.9983123009523809,ARS
edyseco,643,12217000000,0.9985489891135303,0.99664826155521,ARS
MMlacuevadelpueblo,680,11214909785,0.8595352941176471,0.9790087128382352,ARS
BAHIA_CRYPTO,575,11041000000,0.9990139130434782,0.9994957288869566,ARS
OSO-MASHA-CRIPTO,547,10721200000,0.9976581352833639,1.0,ARS
