merchant_name,ads_count,total_volume,avg_finish_rate,avg_positive_rate,currency
DigitalBrok,1755,361127560,0.9870951566951568,0.9965546053618234,BOB
I0O,1405,290593150,0.9983843416370107,0.9999996777935942,BOB
EDWIN_TRADER_xD,1343,278786655,0.9971935964259121,1.0,BOB
Lulu-FX,1296,269030160,1.0,0.9955600125308641,BOB
Anita FX,1243,258028155,0.9962598551890587,0.9968106519629928,BOB
ARZ_USDT_P2P,1566,255240455,0.9904725415070242,0.9999928730076629,BOB
Dami-FX,1109,230211765,0.9957060414788098,0.9960326605680793,BOB
_FastCoins_,1105,228081610,0.9958651583710407,0.9955444095837105,BOB
crip_jhor,1062,214484129,0.9944416195856873,0.9938501737664784,BOB
DIDOU,1224,212784560,0.9858864379084966,0.9852167197140522,BOB
