merchant_name,ads_count,total_volume,avg_finish_rate,avg_positive_rate,currency
Alice-reliable,2548,254800000,1.0,0.9485390724725276,GBP
Safety-SereneLn,2219,221900000,1.0,0.932932206602073,GBP
EDENSERVICES,1327,132700000,0.7594777694046722,0.9447333114167296,GBP
siumeng,1319,131900000,0.9692858225928734,0.9875649673540562,GBP
CcccometoC,1319,131900000,0.9891614859742228,0.8266488897119029,GBP
CryptoMaxTraderr,1102,110200000,0.9640426497277677,0.990242355707804,GBP
PLUMEX,1066,106600000,0.983265478424015,0.9364893899061913,GBP
Lulucandy,1039,103900000,1.0,1.0,GBP
INSIDERS,1033,103300000,0.9053959341723137,0.9801971432042594,GBP
Your_Fast_P2Pal,917,80110000,0.9690163576881133,1.0,GBP
