merchant_name,ads_count,total_volume,avg_finish_rate,avg_positive_rate,currency
賣幣的小仙迪,2377,53482500000,0.9426520824568785,0.9604912036853177,JPY
会ABEYARATNE-TRADERS会,1631,3930000000,1.0,1.0,JPY
WiseXpressPay_GlobalTrade,758,1570500000,0.9833562005277044,0.9811438350527705,JPY
VnBoy,1795,1346250000,0.9974607242339832,1.0,JPY
CalioTrade,1586,1189500000,0.9508026481715006,1.0,JPY
幣爺,1471,1018740000,0.9831651937457511,0.9828265353569,JPY
SHOPUSDT_247,1991,993430000,0.9704731290808639,1.0,JPY
Fast_trading247,1290,967500000,1.0,0.97938144,JPY
BBBBBBBBBBBBBBBBBBB,1156,867000000,0.7451851211072664,1.0,JPY
URAllCryptoDeals,431,862000000,0.9803178654292344,0.9718547067517401,JPY
