merchant_name,ads_count,total_volume,avg_finish_rate,avg_positive_rate,currency
El Conde de Monte-Cristo,3207,981677000,0.9957698783910197,0.9990528458995946,MXN
Fiatcoin Network,1294,735040000,1.0,0.9930511889026276,MXN
redcripto,2487,609082815,0.9965540812223562,0.9996028232207479,MXN
TEZER_EUROPE,1436,516960000,0.9861935933147632,0.9602665965250697,MXN
Powercript,1326,477360000,0.9481123680241327,0.8649059272850678,MXN
ARCITGEN,1739,444093500,1.0,1.0,MXN
Luis20211,1167,420120000,0.9741105398457583,0.9975730498800343,MXN
Crypto_Cambio_Latam,1112,400320000,0.9992077338129496,0.9929880275089928,MXN
MRDBz,1330,399000000,0.8690067669172933,0.9884546792556391,MXN
P2P_RECOMENDADO,993,321610000,0.9959637462235649,0.9889936222759316,MXN
